Connected to server 127.0.0.1:8080
Type commands (LOGIN, CREATE, JOIN, LEAVE, LIST, STATUS, LOGOUT):
[SYS] Audio channel synced. Client ID: 0
[200] Login successful
0
[200] Room created successfully
[200] Joined room successfully
myroom
Audio sender started (UDP)
[DEBUG] Audio sender loop starting...
[DEBUG] Sent packet 1, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 2, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 3, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 4, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 5, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 6, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 7, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 8, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 9, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 10, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 11, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 12, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 13, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 14, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 15, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 16, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 17, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 18, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 19, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 20, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 21, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 22, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 23, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 24, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 25, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 26, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 27, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 28, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 29, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 30, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 31, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 32, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 33, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 34, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 35, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 36, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 37, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 38, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 39, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 40, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 41, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 42, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 43, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 44, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 45, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 46, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 47, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 48, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 49, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 50, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 51, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 52, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 53, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 54, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 55, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 56, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 57, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 58, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 59, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 60, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 61, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 62, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 63, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 64, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 65, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 66, read_bytes: 960, send res: 1044
